code,name,street,lat,lon,change_type,change_reason
1521,Opp Plaza Parkroyal,Beach Rd,1.30088304437602,103.86066098182194,removed,Removed bus stop code
1529,Plaza Parkroyal,Beach Rd,1.30041667676526,103.86044115259938,removed,Removed bus stop code
1541,Bugis Stn Exit D,Rochor Rd,1.29886465442254,103.85734583628746,removed,Removed bus stop code
1549,Opp Duo Residences,Ophir Rd,1.30069868861162,103.85873120467068,removed,Removed bus stop code
1559,Village Hotel Bugis,Ophir Rd,1.30168731070562,103.85752923961614,removed,Removed bus stop code
1611,Aft Raffles Hotel,Beach Rd,1.29527259171342,103.85533686181174,removed,Removed bus stop code
1619,Esplanade Stn Exit F,Beach Rd,1.29428694178246,103.85503809424232,removed,Removed bus stop code
1621,Opp Shaw Twrs,Beach Rd,1.29695888888745,103.85655611109846,removed,Removed bus stop code
1629,Shaw Twrs,Beach Rd,1.297085,103.856894,removed,Removed bus stop code
1631,Aft Beach Rd,Middle Rd,1.29693614589482,103.85580555528075,removed,Removed bus stop code
1639,Bef Beach Rd,Middle Rd,1.29738750001468,103.85557583297624,removed,Removed bus stop code
2029,Aft Esplanade Stn Exit D,Esplanade Dr,1.290106,103.85464,removed,Removed bus stop code
2049,Raffles Hotel,Bras Basah Rd,1.29452091230981,103.85402155505172,removed,Removed bus stop code
2051,The Float @ Marina Bay,Raffles Ave,1.289503056,103.8590339,removed,Removed bus stop code
2061,The Esplanade,Raffles Ave,1.2899638888957,103.85640388886262,removed,Removed bus stop code
2089,Promenade Stn/Pan Pacific,Raffles Blvd,1.29152694444975,103.8592061110504,removed,Removed bus stop code
2101,Aft S'pore Flyer,Raffles Ave,1.28938483786533,103.86183148116277,removed,Removed bus stop code
2111,Esplanade Bridge,Esplanade Dr,1.29095592348389,103.85453419435228,removed,Removed bus stop code
2119,Opp War Memorial Pk,Nicoll Highway,1.29184407356581,103.85534334305083,removed,Removed bus stop code
2141,Suntec Twr Two,Temasek Blvd,1.29576571603037,103.85933814632858,removed,Removed bus stop code
2149,Suntec Twr Three,Temasek Blvd,1.29560459817725,103.85955533029184,removed,Removed bus stop code
2151,Suntec Convention Ctr,Temasek Blvd,1.29317776320814,103.85784623004032,removed,Removed bus stop code
2159,Opp Suntec Convention Ctr,Temasek Blvd,1.29360811227161,103.85840672828635,removed,Removed bus stop code
2161,Aft Promenade Stn Exit C,Temasek Ave,1.29268553508737,103.86093156188176,removed,Removed bus stop code
2169,Promenade Stn Exit B,Temasek Ave,1.29333836780589,103.86070849052751,removed,Removed bus stop code
2171,Opp The Ritz-Carlton,Temasek Ave,1.29070000003898,103.86092194446034,removed,Removed bus stop code
2181,Supreme Ct,Parliament Pl,1.28947444402148,103.85098166700016,removed,Removed bus stop code
3011,Fullerton Sq,Fullerton Rd,1.28561840945474,103.85342223246428,removed,Removed bus stop code
