Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,40239,Bef Stevens Stn Exit 4,BEF STEVENS STN EXIT 4,Whitley Rd
NAME_CHANGED,01/09/2025,40249,St. Joseph's Instn,St. Joseph'S Instn,Whitley Rd
NAME_CHANGED,01/09/2025,40279,KK Women & Children Hosp,Kk Women & Children Hosp,Bt Timah Rd
NAME_CHANGED,01/09/2025,40371,Opp Blk 465A,OPP BLK 465A,Bt Batok West Ave 5
NAME_CHANGED,01/09/2025,40379,Blk 467 CP,Blk 467 Cp,Bt Batok West Ave 5
NAME_CHANGED,01/09/2025,40389,Tengah CC,Blk 119,Plantation Cres
NAME_CHANGED,01/09/2025,40439,Opp Blk 236A,Opposite Blk 236A,Tengah Garden Walk
NAME_CHANGED,01/09/2025,41121,S'pore Bible Coll,S'Pore Bible Coll,Adam Rd
NAME_CHANGED,01/09/2025,41129,Opp S'pore Bible Coll,Opp S'Pore Bible Coll,Adam Rd
NAME_CHANGED,01/09/2025,41161,Aft Kheam Hock Rd,AFT KHEAM HOCK RD,Lornie Highway
NAME_CHANGED,01/09/2025,42111,Woh Hup Bldg,WOH HUP BLDG,Upp Bt Timah Rd
NAME_CHANGED,01/09/2025,42139,Avenue Villa,Ave Villa,Sixth Ave
NAME_CHANGED,01/09/2025,42991,Bef Hillview Stn Exit B,BEF HILLVIEW STN EXIT B,Upp Bt Timah Rd
NAME_CHANGED,01/09/2025,43069,Hillview Stn Exit A,HILLVIEW STN EXIT A,Upp Bt Timah Rd
NAME_CHANGED,01/09/2025,43111,Min of Defence,Min Of Defence,Upp Bt Timah Rd
NAME_CHANGED,01/09/2025,43199,Ch of St. Mary,Ch Of St. Mary,Bt Batok East Ave 6
NAME_CHANGED,01/09/2025,43211,SBST Bt Batok Depot,Sbst Bt Batok Depot,Bt Batok St 23
NAME_CHANGED,01/09/2025,43219,Opp SBST Bt Batok Depot,Opp Sbst Bt Batok Depot,Bt Batok St 23
NAME_CHANGED,01/09/2025,43452,Aft Bt Batok West Ave 3,AFT BT BATOK WEST AVE 3,Bt Batok Rd
NAME_CHANGED,01/09/2025,43453,Bef PIE,BEF PIE,Bt Batok Rd
NAME_CHANGED,01/09/2025,43631,PPIS Bt Batok,Ppis Bt Batok,Old Jurong Rd
NAME_CHANGED,01/09/2025,43639,Opp PPIS Bt Batok,Opp Ppis Bt Batok,Old Jurong Rd
NAME_CHANGED,01/09/2025,43681,Bt Batok Hme for the Aged,BT BATOK HME FOR THE AGED,Bt Batok West Ave 2
